timeframe,mean1,mean2,mean3,std1,std2,std3,SAD1,SAD2,SAD3,SAD1p,SAD2p,SAD3p
20,35.64114444444446,21.468017777777757,0,37.598275599454404,0.16427741030576679,0.0,2433.422999999999,334.19299999999987,0,1216.6930000000004,167.3179999999999,0
21,67.31370333333349,21.465900000000005,0,0.40666091100647916,0.15712856160507707,0.0,286.83800000000053,329.4080000000003,0,143.3730000000001,164.68700000000013,0
22,79.26435222222204,21.457989999999988,0,43.07492877825538,0.1754679772019926,0.0,4655.743000000007,324.4079999999998,0,2322.6409999999996,162.075,0
23,83.4792777777779,21.455794444444457,0,31.02488596651603,0.16160494054958688,0.0,483.28299999999905,330.924,0,246.92999999999938,165.47799999999984,0
24,35.264233333333344,21.426625555555596,0,24.83448449065479,0.16149458647164108,0.0,388.7089999999998,325.69099999999975,0,194.354,162.92400000000012,0
25,84.10246222222217,21.391321111111118,0,63.78730589795573,0.15950402200405675,0.0,5251.188999999997,324.04000000000076,0,2625.4700000000007,162.01000000000005,0
26,94.84956999999991,21.41840111111112,0,54.95121908893325,0.1619133929870384,0.0,547.4540000000013,327.3309999999999,0,273.85200000000054,163.75000000000003,0
27,34.93316222222223,21.42076444444443,0,40.08770121411508,0.1689734959643105,0.0,2803.412999999994,341.91400000000004,0,1401.6759999999995,170.953,0
28,75.04153777777785,21.44499222222218,0,49.462015405827906,0.16701198209749257,0.0,3998.7120000000004,340.45700000000016,0,1999.2130000000004,170.1930000000002,0
29,87.43161888888875,21.452978888888893,0,31.358299476043527,0.1627228705208115,0.0,554.7040000000004,325.0440000000003,0,277.5300000000003,162.52400000000003,0
30,66.57888555555559,21.46776555555558,0,22.40626862606274,0.16024130695324743,0.0,2347.4750000000076,325.3620000000002,0,1173.7420000000034,162.4479999999997,0
31,38.58207333333338,21.48702777777778,0,25.536233288924663,0.15690916973807717,0.0,395.41899999999987,326.0049999999996,0,197.62599999999964,163.13199999999978,0
32,92.24345666666673,21.48179999999999,0,59.73695649670955,0.15982308071785095,0.0,4117.682999999996,332.6870000000005,0,2058.910999999999,166.44699999999932,0
33,81.06220222222231,21.486687777777806,0,28.040837280822466,0.16198158090799789,0.0,447.24800000000016,334.93100000000004,0,223.587000000001,167.37599999999998,0
34,30.953389999999995,21.480607777777763,0,23.401689324760852,0.1575415920348113,0.0,404.3839999999999,329.57400000000007,0,202.22200000000032,164.88799999999992,0
35,96.2790444444444,21.49772888888889,0,61.45939066676788,0.16427338864461213,0.0,4199.349000000001,327.6949999999997,0,2099.4730000000027,163.8129999999999,0
36,81.4871633333332,21.478542222222227,0,57.02952947746958,0.16030492147225592,0.0,535.9209999999994,324.59999999999985,0,268.19199999999984,162.31100000000023,0
37,40.53034222222227,21.512767777777793,0,41.818434213482945,0.16136586244762488,0.0,2928.3639999999964,321.35599999999954,0,1464.1449999999995,160.61199999999994,0
38,80.11643888888894,21.502097777777742,0,37.79166789124056,0.1638410180454424,0.0,3445.039000000002,334.0939999999998,0,1722.5060000000005,167.09199999999987,0
39,78.7573255555555,21.527219999999964,0,42.55708193144998,0.1634192709230167,0.0,3401.0340000000006,314.7109999999995,0,1700.5260000000007,157.41399999999982,0
40,68.44075888888892,21.546950000000006,0,1.1986519665468085,0.16863245257087034,0.0,293.6580000000006,334.2599999999994,0,146.80800000000033,167.07899999999984,0
41,27.90461555555562,21.557595555555558,0,21.810323611920797,0.16743571071191574,0.0,392.6310000000003,321.5929999999998,0,196.30200000000036,160.82699999999969,0
42,127.8051922222222,21.557265555555567,0,57.14775874776659,0.15428711347357243,0.0,4707.645999999996,309.98200000000014,0,2353.714000000004,154.9789999999999,0
43,47.12281000000006,21.569188888888885,0,35.04579048316807,0.1532240316688447,0.0,536.5530000000002,318.1539999999999,0,268.3669999999995,159.09599999999986,0
44,46.87156666666671,21.520688888888884,0,45.20153577532816,0.16037450916900844,0.0,3349.7480000000037,323.73500000000064,0,1674.947999999999,161.8770000000004,0
45,99.3286700000001,21.514757777777756,0,41.9359306758754,0.1606757670232672,0.0,2909.5640000000035,318.5459999999996,0,1454.6589999999976,159.174,0
46,59.44622222222228,21.512276666666672,0,36.91689734126367,0.16304020710355221,0.0,2658.1629999999996,322.96199999999965,0,1329.2090000000003,161.37999999999994,0
47,67.570258888889,21.4818788888889,0,0.5681993460590384,0.1584299910614439,0.0,297.69600000000037,321.31499999999954,0,148.7090000000001,160.83599999999993,0
48,41.76007555555547,21.4495722222222,0,46.84983931551661,0.16519580287526558,0.0,2903.3129999999987,342.1859999999996,0,1451.7189999999998,170.99699999999987,0
49,117.32316666666665,21.44179333333335,0,42.663389276124605,0.16401698805093087,0.0,2344.6220000000026,331.533,0,1172.406,165.90299999999996,0
50,34.96673222222219,21.442806666666648,0,24.826744699636734,0.16192360205734724,0.0,398.88500000000033,326.5529999999999,0,199.3659999999999,162.9800000000001,0
51,36.76697888888889,21.460724444444455,0,41.082782085666146,0.16202847791490202,0.0,2778.3049999999994,326.4700000000001,0,1389.1039999999991,163.29099999999966,0
52,138.59198777777763,21.454005555555558,0,29.647530015066838,0.1640733610988439,0.0,2579.5899999999956,339.4659999999995,0,1289.7719999999972,169.74499999999998,0
53,28.916155555555584,21.482872222222213,0,23.619810758591154,0.16130564437483436,0.0,523.4849999999996,322.493,0,261.8419999999998,161.42500000000013,0
54,60.85521666666671,21.46815555555554,0,41.021485141433395,0.16405857842509655,0.0,3327.105999999998,323.32299999999975,0,1663.5669999999996,161.6550000000001,0
55,89.42383777777759,21.490166666666667,0,34.192760991449234,0.164390156245814,0.0,3054.212999999995,314.4600000000001,0,1527.0810000000001,157.2599999999999,0
56,69.7780722222223,21.49425111111111,0,29.485398372895492,0.16090260303312526,0.0,1969.2569999999998,341.53800000000035,0,984.5890000000005,170.74099999999967,0
57,53.811375555555564,21.493222222222233,0,22.722621403460654,0.16376957399183759,0.0,400.7150000000001,319.82199999999943,0,200.35500000000005,159.8569999999998,0
58,56.7527777777778,21.508218888888898,0,71.77005440213165,0.1593463004568567,0.0,6024.735000000004,328.23000000000064,0,3012.2569999999987,163.94799999999992,0
59,115.48954111111112,21.50720666666671,0,38.94676738400109,0.1598088525894682,0.0,571.0319999999997,318.37100000000044,0,285.5799999999996,159.46100000000015,0
60,23.00825888888888,21.457348888888927,0,32.691103210197014,0.1773455318064534,0.0,2413.078999999998,340.64600000000013,0,1206.4449999999993,170.15099999999995,0
61,68.186058888889,21.521824444444455,0,1.1435845144012744,0.16033718038917952,0.0,291.2750000000002,320.927,0,145.66500000000002,160.4209999999997,0
62,92.36199888888875,21.532135555555566,0,33.82557645798868,0.1526067141067472,0.0,2651.6829999999986,316.8859999999997,0,1325.931999999992,158.55599999999978,0
63,66.86451555555561,21.521348888888888,0,24.046802456394147,0.17293879545428745,0.0,2488.807999999999,334.1149999999999,0,1244.4619999999952,167.06899999999982,0
